commentaires;notes
Romantic Weekend;8.0
Superb;9.0
Good;7.0
Cleaned place;8.0
We loved our stay and will come again.;8.0
Lovely hotel;8.0
Good;7.0
Good;7.0
Lovely stay for our anniversary;9.0
Very good;8.0
Very good;8.0
Lovely;7.0
One night stay in my favourite London hotel;9.0
Very enjoyable;9.0
My stay was lovely thank you, next time I’ll stay longer;9.0
Amazing;8.0
Great stay, will stay again;8.0
Great choice for London;8.0
Great place to stay for a trip to London;8.0
Great hotel for Shoreditch area;9.0
Great weekend away;9.0
Polite staff;7.0
Superb;9.0
Room wasn’t booked;8.0
Superb;9.0
Excellent;9.0
Superb;9.0
Great Hotel, great location.;8.0
Nice location and facilities but noisy!;8.0
Staff friendly;8.0
A real must!;9.0
Okay;7.0
Very good;8.0
Good Experience;8.0
Superb;9.0
Good;7.0
Superb;9.0
Wife’s birthday;8.0
Comfortable and Friendly;8.0
It was ok no Netflix and floor 9 is abit noisy;7.0
warm, friendly and calm atmosphere.;9.0
Very good;8.0
Nice but not as clean and not 5*;8.0
Really enjoyable stay.;8.0
Nothing but AMAZING!!;9.0
Very good;8.0
Good;7.0
Very good;8.0
Good;7.0
Very good;8.0
Relaxing, pleasant and very convenient location.;8.0
Superb;9.0
Brilliant service.;7.0
From around 7:30pm trying to ring the reception as the lights turned off wouldn’t come on, the staff;8.0
Very good;8.0
Good;7.0
great apart from the spa!;7.0
"Great room and facilities but customer service not 5 star; not ideal for families";7.0
Very good;8.0
Good;7.0
Perfect;9.0
Nice hotel but not worth £224 for one night due to not being able to use most of facilities;7.0
Very Good overall but not quite 5*;7.0
Superb;9.0
Fantastic stay!;8.0
One night stay;8.0
Good;7.0
Superb;9.0
Good;7.0
Good;7.0
Good;7.0
Good hotel but more information and warning about booking the restaurant would have been a help;8.0
Polite and helpful staff and a comfy stay.;7.0
Staff went the extra mile;8.0
Superb;9.0
Good;7.0
lovely hotel;7.0
Very good;8.0
Very good;8.0
Good;7.0
Very good;8.0
Perfect hotel for 2 would definitely recommend for friends and family;7.0
Good;7.0
Nice stay but curtains let in too much light at the edges;8.0
Great value for money;8.0
Superb;9.0
Very good;8.0
Good location, spacious accommodation, reasonable value for money.;8.0
Beautiful hotel whether its business or pleasure, location is unreal in the heart of Shoreditch!;9.0
Superb;9.0
My stay;8.0
Superb;9.0
Superb;9.0
Very good;8.0
Nice stay.;8.0
Great short stay in an excellent location. Thank you!;8.0
Staff spectacular;7.0
Good;7.0
Great room and location for a fair price;9.0
Living lavish;7.0
hoping my girlfriends 31st birthday will be a little more special than her 30th staying here.;8.0
Very good;8.0
Superb;9.0
Superb;9.0
Good;7.0
Superb;9.0
Superb;9.0
Good stay but not 5* quality;7.0
Superb;9.0
Pleasant stay;8.0
Good;7.0
Good stay;8.0
Superb;9.0
Very good;8.0
Really enjoyable highly recommend.;9.0
Very good;8.0
Very good;8.0
Very good;8.0
Very good;8.0
Superb;9.0
Superb;9.0
Superb;9.0
Very good;8.0
Good;7.0
Business stay;8.0
Lovely stay, recommend highly very comfortable;9.0
Great hotel;7.0
Very depressing times v;7.0
Superb;9.0
Great staff ,great Tv and good vibes;8.0
COVID restricted night away in London;8.0
Superb;9.0
A great stay for Tourists;9.6
Good service;8.0
Lovely scenery & the breakfast was very good. Would recommend hotel.;7.0
Great place;9.0
I’m a returning customer, great hotel in terms of location and overall atmosphere.;9.0
Very Enjoyable;8.0
Good;7.0
Sort & ok;9.0
Good;7.0
Perfect little getaway!;8.0
Very pleasant;9.0
Superb;9.0
amazing stay with lovely views, would definately revisi.;9.0
Great hotel;8.0
relaxing family gateway despite some little hiccups but taken care off at checkout;7.0
Lovely stay;8.0
Excellent;9.0
Very good;8.3
Very good;8.0
Superb;9.0
Very good;8.0
Very good;8.0
Great hospitality!;9.0
Helpful staff & Quality experience;9.0
Good;7.0
Good;7.0
Lovely stay;9.0
Very relaxing, quality rooms/service and food. Staff were all very helpful.;9.0
Recommended. Good value for money.;8.0
Great place, good location;9.0
good, but quite expensive;8.0
Very good;8.0
Good;7.0
Lovely relaxing stay;9.0
Great experience;7.0
Modern, luxurious, good food and spectacular rooftop views;9.0
Very good;8.0
Exceptional City Break;9.0
Excellent value with just a couple of irks;9.2
Superb;9.0
Superb;9.0
Superb;9.0
Good;7.0
Very good;8.0
Superb;9.0
Superb;9.0
Great location and very clean! Shame about the baggage storage;8.0
Superb;9.0
Lovely staff, Breakfast In Bed, Spa facilities kept to standard. Would definitely come back again.;7.0
The best;9.0
Mehhh;7.5
Superb;9.0
Good;7.0
Amazing hotel!;9.0
Very good;8.0
Very good;8.0
Had fantastic stay as newlyweds!!;9.0
I will definitely be staying here again;8.0
Very good;8.0
Very relaxing and calm;8.0
Daughters birthday London hotel stay;7.0
Superb;9.0
Montcalm royal house;7.0
A bit too wild on a Friday night;7.0
Superb;9.0
Great hotel in central location.;9.0
A very enjoyable weekend.;9.0
Very modern;9.0
Good;7.0
Superb;9.0
Superb;9.0
Superb;9.0
Good Hotel;7.0
The hotel was in great condition;9.0
Relaxing;8.0
Superb;9.0
Superb;9.0
Room was very cold, also not told that to go to the swimming pool or rooftop we had to book prior so didn’t use the faci;7.0
Superb;9.0
Very good;8.0
Comfortable stylish hotel with views from the roof top;8.0
Would go again;9.0
Great stay at the M;9.0
Superb;9.0
Montcalm ok;7.0
Loved the bar and atmosphere and would definitely return but give breakfast a miss;7.0
Superb;9.0
Superb;9.0
Superb;9.0
Good;7.0
Lovely;8.0
The stay was ok, but I don't think the hotel should be 5 star;7.0
Very good;8.0
Very good;8.0
Montcalm stay;9.0
Pretty good;8.0
Good;7.0
Good;8.0
Good;7.0
Superb;9.2
Ok but not 5 star;7.0
Good;7.0
Good;7.0
Very good;8.0
Lovely hotel, with great location.  Rooms modern and spacious.;9.0
Good;7.0
Beautiful hotel! Definitely be back again!;9.0
Very good hotel ,I think it will be our main stay hotel from now on;9.0
Very good;8.0
Good;7.0
OVERALL EXCELLENT AND HAD A GREAT TIME;9.0
Relaxed, Good Location;8.0
Good;7.0
Weekend break;7.0
good location nice hotel great bar on roof;8.0
Birthday Stay;9.0
Superb;9.0
Good;7.0
perfect weekend get away;8.0
It was a lovely stay and I would go again;9.0
Good;7.0
Very good;8.0
One night getaway;7.0
Delightful. We will stay again next summer to enjoy the views;7.0
Superb;9.0
The holiday was okay , minus the food , we had to look elsewhere for food;8.0
Memorable, relaxing and calming !;9.0
Upgraded room & friendly stafd;8.0
Really lovely atmosphere;8.0
Superb;9.0
Superb;9.0
Pleasant;9.0
Very large and comfortable bed.;8.0
Good but no where near 5 star as advertised.;8.0
A great good value location. My daughter loved the pool!;9.0
Very good;8.0
Perfect considering as it was a last minute booking;8.0
Great location;8.0
Nice , busy , friendly staff & stylish hotel.;7.0
My Favourite Hotel in London;9.0
GREAT HOTEL IN AN AMAZING LOCATION;9.0
Very good;8.0
Lovely;7.0
Very good;8.0
a bit expensive for what we experienced;7.0
Really good value.   Might better suit younger visitors.;8.0
Nice;8.0
Superb;9.0
Very good;8.0
Good;7.0
Superb;9.0
Good, friendly staff;7.0
Good;7.9
We will be back!;8.0
Hotel ok was expecting to be wowed, and wasn't.;7.0
Very good for the price, would recommend to future business partners;8.0
Wonderful;9.0
A friendly welcoming staff and a relaxing stay thank you;9.0
Solid not spectacular;7.0
Superb;9.0
Very enjoyable stay with my daughter, should have booked two nights;9.0
Very good;8.0
Our Second Stay;8.0
Not our best experience of this Hotel that we had previously enjoyed staying at & had no issues.;7.0
nice;8.0
Superb;9.0
Very good;8.0
Superb;9.0
Good;7.0
Was every nice stay;8.0
Superb;9.0
Good;7.0
It was fantastic.;9.0
wonderful. can't wait to return.;9.0
Excellent stay p;9.0
It was very nice and I would recommend people to come and enjoy like I did a;7.0
Great experience worth paying for;9.0
Great stay!;8.0
Good;7.5
The Only Way Is Liverpool St.;8.0
Great place to stay, second time back!;7.0
Good;8.0
Birthday stay;8.0
Great stay!;9.0
Great experience!;9.6
Good;7.0
Superb;9.0
Good;7.5
Amazing;8.0
I want to thank Mary and Mohammed for the amazing stay.;9.0
Very good;8.0
Great for price, but don't expect a 5* service;7.0
Comfortable, great room, great staff.;9.0
My stay was comfortable and pleasant, I enjoyed it.;8.0
Very good;8.0
Would recommend;7.0
Fantastic hotel in the city!;9.0
Superb;9.0
Very good;8.0
Very good;8.0
Good;7.0
Good;7.0
Exceptional;9.6
Superb;9.0
Very good;8.0
Very good;8.0
Good;7.1
Lovely hotel with nice rooftop bar;9.6
The staff a great, helpful and friendly. The hotel itself is lovely.;8.0
Excellent stay for birthday;9.2
Exceptional;9.6
Great option near London Liverpool Station.;9.0
Very good hotel in the city;7.0
Very good;8.0
Lovely 5*hotel with helpful friendly staff;9.0
Good;7.0
First class service;9.0
Room very nice, and staff very friendy and atentive.;8.0
Superb;9.2
It was a good stay, but there are lot of details that should not be overlooked in a 5-star property.;8.0
Good;7.5
Superb;9.2
Exceptional;9.6
Superb;9.0
Fabulous;8.8
Superb;9.2
"Enjoyed my stay; nice and busy but not overcrowded. very well trained staff.";9.0
Exceptional;9.6
Good;7.0
Comfy and welcoming.;8.0
Superb;9.2
Perfect minibreak;8.0
Good;7.9
Exceptional;9.6
Good;7.0
Exceptional;9.6
Superb;9.2
Exceptional;9.6
Good;7.9
Very good;8.3
Superb;9.2
Exceptional;9.6
I would recommend!;9.0
Fabulous;8.8
Great location;8.3
Superb;9.2
1 Night Stay;8.8
Excellent!;8.0
Superb service as always;9.0
Exceptional;9.6
Very good;8.0
Overnight business trip;9.0
Superb;9.0
Exceptional;9.6
Great hotel, ruined by allowing bars to be taken over by rowdy non-residents.;8.0
Lovely stay;8.3
Good;7.5
Great customer care;7.0
great service, good location ... I will definitely stay again;8.0
Wonderful;9.0
Wonderflul place, well located, we will come back !;9.0
Good;7.5
Superb;9.2
Good;7.0
Very good;8.3
Good;7.5
Beautiful hotel;9.0
Fabulous;8.8
Very good;8.0
Good;7.5
Ok but not right for those wanting peace and quiet on a Saturday night;7.0
1 night stay for work, convenient location, spacious room and friendly staff;8.0
Perfect couple get away!;9.0
Exceptional;9.6
Great stay;9.0
Superb;9.2
Good;7.9
Superb;9.0
Can’t fault the hotel;9.6
Superb;9.0
Great and really luxary hotel.;8.0
Relaxing;9.0
Very good;8.3
Nice location, friendly staff, would stay again;8.0
A great stay at a quiet location;9.2
Exceptional;10
Passable;5.0
Pleasant;6.0
overall good;6.0
Very Dissatisfied;4.0
the staff were fantastic and the rooms were clean - Will definitely return but the staff make it!;10
Avoid at all costs.;1.0
Exceptional;10
Exceptional;10
Good unsure if I would come back;10
Clean, comfortable & amazing service from the hotel staff. Highly recommend.;10
Exceptional team of staff;10
Bad;1.0
Beautiful hotel! Staff were very accommodating!;10
Everything was perfect and beautiful.;10
Exceptional;10
fine;5.0
A nice hotel but needs to be kept on top of;6.0
great comfortable stay;10
The best stay!;10
Exceptional;10
Pleasant;6.0
Pleasant;6.0
A fabulous experience;10
Pleasant;6.0
Exceptional;10
Exceptional;10
My second stay at the Montcalm Royal was just as good as the first. Efficient and welcoming staff, luxurious comfortable;10
Exceptional;10
Superb location. Beautiful hotel and lovely staff;10
Exceptional;10
Exceptional;10
great place and friendly staff;10
Loved loved loved everything.;10
Well worth the money;10
Warm welcome. Clean room and comfortable bed. I liked the high tech lighting. I would and probably will book this hotel;10
Great hotel very friendly staff.;10
Expected better;5.0
comfortable stay. hotel very nosey and loud at night due to bar at far end.;6.0
Amazing. Great service and facilities across the board;10
disappointed;5.0
great stay will be staying  again;10
Best 30th weekend away;10
a nice hotel but not clean enough to stay again;5.0
was fine and did the job, but wouldn’t stay again;6.0
Got an upgrade after a room with leaking fridge, glass lipstick stain on water glass;6.0
would definitely recommend.;10
great;10
overpriced;5.0
exceptional ional;10
Perfect hotel for a city break;10
it was a good stay;10
Exceptional;10
A very average city hotel.;5.0
all in was ok just food was poor also no towels at swimming;6.0
excellent service;10
Excellent;10
Exceptional customer service.;10
Great Staff, Good Facilities, Pricey when booking in advance, Avoid 9th floor;4.0
Excellent;10
Wooooow….. AMAZING;10
Phenomenal customer service and lovely hotel;10
Beautiful Hotel.;10
fabulous memorable weekend;10
brief;6.0
Beautiful Hotel;10
Exceptional;10
Gorgeous hotel, perfect for a weekend in London!;10
comfortable room but would not stay again;10
Passable;5.0
Exceptional;10
excellent, will be back!;10
loved it and would stay again, thank you;10
Great place to stay in London;10
brilliant hotel, wonderful staff, superb service & great location;10
wonderful as always !;10
Super comfy bed and exceptional staff and location.;10
Exceptional;10
absolutely perfect;10
brilliant;10
Exceptional;10
Exceptional;10
Great Location and Wonderful Staff!;10
Lovely hotel. Perfect staff. Very, very comfortable beds.;10
AMAZING;10
Exceptional;10
Worth it;10
Exceptional;10
very poor value for money and very poor house keeping but the staff was very welcoming and friendly;3.0
great stay. staff couldn’t do enough for us, hotel was beautiful. visited spa and the therapists gave amazing treatments;10
Exceptional;10
Wonderful weekend;10
Exceptional;10
Passable;5.0
Exceptional;10
Exceptional;10
Wonderful Hotel;10
Okay;6.0
Exceptional;10
amazing place to spend some time away;10
Exceptional;10
Exceptional;10
Pleasant;6.0
VIP treatment every single time!;10
We arrived much earlier than check in time to drop our bags off and the staff were so accommodating and got our room rea;10
Hollywood style opulence with the warmest welcome in town;10
Good hotel but not worth the money;5.0
Good hotel for business purpose in Bank area.;6.0
wasn’t as good value for money as expected;5.0
Exceptional;10
Exceptional;10
perfect stay at an amazing hotel;10
Wonderful crispy bacon!;10
beautiful and were made to feel very special;10
enjoyed my stay , will definately book again;10
Throughly enjoyed our stay we were very comfortable and was the perfect place to celebrate my boyfriends birthday!;10
enjoyed my stay would definately book again the next time I Visit London;10
we arrived from our wedding and was greeted by the lovely staff. Arrived in our room and it was exceptional!;10
Exceptional;10
Had a lovely time with my partner;10
won’t go back again;2.0
Very disappointing. This is not what you would expect from a 5star hotel.;3.0
horrible;1.0
The perfect anniversary weekend ??;10
Great room size, but the room needed cleaning and the rooftop outside space could have been open.;4.0
Passable;5.0
staff so friendly hotel lovely will be back.;10
Good all round;10
excellent experience we will definitely be returning soon;10
would overall give this hotel a 10/10 score it’s amazing throughout but the staff really make it extra special. we w;10
nice hotel but not good for a couples/romantic break;5.0
Exceptional;10
The staff can not do enough for you, clean modern and the perfect location!;10
the friendly staff and the lovely swimming pool;10
Exceptional;10
we ended up staying an extra night because we loved it so much;10
Great base to explore Shoreditch;10
Top stay;10
Fantastic!;10
It is always a pleasure;10
perfect stay to work and relax;10
Exceptional;10
relaxing;10
Poor and not for the first time. I will not stay here again.;5.0
excellent and welcoming! staff was amazing as always;10
Disappointing;4.0
The room was really disappointing but the spa is nice;6.0
Pleasant;6.0
Fabulous 5* Experience;10
Was good because of the staff and the rooftop;5.0
All good and very comfortable bed.;10
would never recommend or stay here again.;3.0
Great hotel!;10
unsafe location do not park in NCP;1.0
100& recommend here. Lovely hotel in a great location;10
Fabulous stay;10
they have the perfect customer service. and a lovely view from the roof top bar. this is the second time I lived in and;10
very nice.;10
Average. Wasn’t worth the price.;4.0
beautiful stay in a gorgeous hotel;10
Excellent stay - and would be very happy to stay again.;10
Not so good;5.0
was expensive for just a stay;6.0
Great hotel in London City with comfortable room and wonderful roof top bar.;10
Exceptional;10
Not Top 25 Hotel in London;6.0
Exceptional;10
Amazing staff, Francisco, Mary and Daniel were great.;10
Exceptional;10
as above;5.0
Passable;5.0
it was ok, good staff but rooms are a bit tired;6.0
January went above and beyond to ensure we had the best anniversary ever;10
A wonderful Hotel in a great location;10
An excellent stay in London, would stay agin;10
Exceptional;10
Passable;5.0
Exceptional;10
Excellent short visit for Daughters 21st Birthday she had a blast;5.0
Exceptional;10
Pleasant;6.0
A really positive experience!;10
excellent service;10
Exceptional;10
AMAZING;10
Perfect couple of days in London.;10
Great location and friendly staff but it wasn't good value due to pool and Terrace restrictions.;6.0
definitely coming back!!;10
Excellent weekend trip;10
Cost was really high for a hotel I would rate as a 4 star not 5. Including cost of stay/drinks/food;4.0
A superb hotel;10
Exceptional;10
Wonderful location and lovely stay!;10
Exceptional;10
Pleasant;6.0
Exceptional;10
not worth the money.;3.0
It was a fabulous stay, a shame we were only there for one night. We will book again.;10
Disappointing;4.0
Booked the hotel and spa as a treat ahead of my daughters graduation, it didn't feel like a treat!;6.0
this hotel was outstanding,5star all the way. I would recommend it to everyone, I will definitely go back, just perfect.;10
Excellent.;10
good location, good bed and good staff!;10
Not good enough for that amount of money I spent;2.0
Perfect in every way.;10
Friendly, welcoming, will be back;10
Expect delays in check in;6.0
An absolutely perfect location for this very special stay;10
can’t thank the staff enough it was my birthday and they really went to the best effort.;10
Exceptional;10
Another fantastic, wonderful stay at the Montcalm..!;10
really lovely stay in a very beautiful hotel;10
Passable;5.0
Pleasant;6.0
Dissapointed with so many things for such a high price.;4.0
Exceptional;10
Disappointing.;6.0
Excellent;10
unbelievable;10
Lovely stay.;10
I won’t go back and with trust this chain again;3.0
Poor;3.0
Family Hotel;10
From the moment we walked through the door, we was thoroughly looked after! The room was very cosy and comfy, Bathroom h;10
brilliant;10
very good .;10
Exceptional;10
Passable;5.0
Amazing weeekend!!;10
The most fantastic staff and management. A real asset to the hotel!;10
Great Hotel and superb professional service;10
Fabulous stay, very friendly and kind staff;10
Disappointing;5.0
Exceptional;10
excellent. would definitely stay again;10
Fantastic Staff, Hotel and Stay;10
not good;4.0
amazing;10
MY FAVOURITE STAY AT THE MONTCALM ??;10
5 star accommodation in central London;10
Wouldn’t stay at hotel again;4.0
Lovely modern hotel with great staff!;10
Passable;5.0
Exceptional;10
Four star hotel;5.0
Exceptional;10
Perfect experience for our 1 year anniversary from staff, food to facilities. Thabk you;10
Poor;3.0
Exceptional;10
great hotel;10
Exceptional;10
chaotic;3.0
Great location and large clean comfortable rooms;10
mediocre;4.0
Definitley not 5 star;4.0
Maybe 3 stars not 5;3.0
Lovely hotel with large rooms and a great roof top Bar!;10
Bad;1.0
Girls on film!!;10
Passable;5.0
very disappointed to have booked and paid for a 5* hotel and got a room similar to a premier inn;4.0
Exceptional;10
Clean, comfortable, but bar staff quite rude;4.0
Exceptional;10
1st year Anniversary;10
lovely 2 night stay;10
Exceptional;10
Exceptional;10
a great hotel for a visit and holiday in London with the family;10
Underwhelmed.;4.0
Could be better for that price;6.0
Exceptional;10
Will be back!;10
Exceptional;10
A pleasant hotel with modern rooms & good facilities;6.0
The perfect hotel to celebrate a special occasion.;10
Very comfortable stay, exceed expectations;10
Excellent hotel;10
Disappointed and will not return.;3.0
Outstanding service, exceptional room and in a very central part of the city.;10
excellent;10
Not a 5 Star hotel.Tired looking and Housekeeping needs improvement.;3.0
Exceptional;10
totally overpriced for quality ! I would not recommend or stay there again unless they improve;5.0
good;10
wonderful experience;10
The best hotel and most amazing service;10
superb staff and environment;10
A beautiful stay with a team that is credit to the hotel!;10
Exceptional;10
It was an excellent stay and I cannot wait to come back.;10
Exceptional;10
used to be a favourite place to stay but prices are not justified. extremely overpriced;4.0
Looking for a corporate booking with multiple rooms? Look elsewhere;1.0
"loved our night in Montcalm and would recommend; staff superb";10
Designers have missed the mark! I’m not sure what this hotel is trying to be. Will not be back.;5.0
amazing experience, staff couldn’t do enough for us, can’t wait to come back.;10
Won't be going back.;3.0
Exceptional;10
Exceptional;10
amazing hotel;10
great fun place;10
ok but too expensive for what it provides;4.0
Bad;1.0
Exceptional;10
not the best stay I’ve had;1.0
Never coming back;1.0
Exceptional;10
Amazing facilities in the lobby, comfortable and impressive room and the friendliest staff;10
room was nice but so over priced;5.0
lovely bed but noisy room.;6.0
A fabulously comfortable stay;10
loved it , will come back again.;10
we will arrive again;10
Disappointing;4.0
definitely wil come back;10
Exceptional;10
fantastic;10
Very good;8.0
Relaxing modern stay in the heart of London;9.0
Good;8.0
Refreshing stay in a convenient part of London;9.0
Excellent Hotel;9.0
Good location for transport (tube and bus) in a relatively quiet street;9.0
We had a nice comfortable stay.;8.0
nice stay in a well located hotel;8.0
Very good;8.0
Completely satisfied;9.0
extremely convenient, much nicer than the average london hotel;8.0
A perfect hotel for access to Paddington and walking distance from the West End. Loved it!;9.0
Staffs care about the customers!;9.0
"excellent hotel ; I will back to them next trip :)";9.0
Good;7.0
Location was great with easy access to Paddington Station. The showers are great and the beds are very comfortable;9.0
CJK;9.0
very nice stay! would definitely come back!;9.0
Very good;8.0
I was wary of the hotels near paddington but this is a little gem, would recommend it.;7.0
A basic enough four star but a comfy and convenient base for exploring London.;7.0
Nice place for a short stay although a little pricy.;8.0
Pleasantly surprised in the heart of London.!!;9.0
Disappointing - I won’t be back;7.0
great place. expensive small room.;7.0
excellent option near paddington station;9.0
Superb;9.0
Good;7.0
Superb;9.0
Very good;8.0
great location , cold in the room!;7.0
Good hotel find;8.0
Superb;9.0
Good;7.0
Pleasant stay;9.0
Expensive for what it is, not suitable for anyone on the larger size;7.0
Very good;8.0
Perfect for few days;9.0
Superb;9.0
fantastic stay other what’s been written. would definitely stay again. but I would recommend another room on a higher fl;8.0
Very nice staff and sustainable hotel. Take a look on the comfortablenss of the bed;9.0
Very good;8.0
Inhabit was a lovely place in a great location!;8.0
lovely stay in a convienent location;8.0
Comfortable stay, hotel is so well decorated & cute. Will always stay with inhabit when in london!;9.0
Very good;8.0
Good;7.0
great value for money, modern decor and perfect location for our stay;8.0
Great place for a business stopover;9.0
Superb;9.0
Highly recommended, scandi vibe hotel.;9.0
nice modern boutique hotel;9.0
Met our requirements;7.0
we will be back for sure!;9.0
Great place, I will definitely be back;9.0
great location, design and staff;9.0
Nice stay;7.0
pleasant but space a bit tight;7.0
relaxing and modern hotel with comfortable beds;9.0
really well looked after by the staff with very goood hotel ethos;7.0
Good;7.0
I’m definitely coming back!!;9.0
Good for a couple of nights, though maybe not for three adults. Prefer more services at the price.;7.0
calm oasis on the middle of Paddington;8.0
good;8.0
Good;7.0
great service, very helpful! hotel was clean and had good facilities;9.0
it was good but could be better! really small but it’s london so im not surprised;9.0
would stay again!;9.0
Good;7.0
Could hotel rooms are way too small I would go again but only if I was travelling on my own;7.0
Great accommodation;9.0
Good;7.0
A good and pleasant stay at a good location with a homely atmosphere of a truly boutique hotel.;8.0
Very cute hotel;9.0
nice stay better than most costing more in area;8.0
Very good;8.0
Room 314 is a no go !!;7.0
Overall good stay and love the ambience of the place. Convenient, comfortable and clean.;8.0
Great option for a solo traveler;9.0
warm and cozy. would stay again with Flavia there!;8.0
pretty good value choice for a quiet part of london;8.0
Very good;8.0
Good;7.0
enjoyable but not enough value for money;9.0
Weighing up the positives and negatives this is a charming boutique hotel. I would stay here again.;8.0
Superb;9.0
I slept in a hotel bed;7.0
great location and quiet;8.0
fantastic value for money! well designed hotel and very comfortable;8.0
Good;7.0
Very good;8.0
Really enjoyed it - great central location;8.0
Very good;8.0
A warm welcome and a relaxing space;8.0
good;8.0
Superb;9.0
Clean, good location, expensive for what it is.;7.0
it was clean and I love the comfy bed;8.0
Very good;8.0
Good;7.0
Very good;8.0
Good;7.0
Good;7.0
A very pleasant stay;9.0
good value for your money.;9.0
lovely vibe and very tastefully decorated but not sure I could justify the spend again on such a small room. only really;8.0
Very good;8.0
Good place to stay at Paddington;8.0
would stay here again;9.0
Beautiful house, great atmosphere and location;8.0
excellent!;9.0
Chic hotel with minimalist decor. Very clean and comfortable;9.0
Very good;8.0
comfortable;7.0
Nice alternative style of accommodation.;8.0
relaxing stay in London;8.0
Stylish and sustainable;9.2
Superb;9.0
Nice stay in London!;8.0
Really nice hotel to enjoy London with your friends.;9.0
Pleasant stay;8.0
Good;7.0
A fabulous hotel!;8.0
I'd have loved staying longer;9.0
Good;7.0
Chilled out and super-clean hotel;8.0
I will visit it again and again. but if they reduce the price;8.0
Very good;8.0
Lovely hotel for a great value in a perfect location. Highly recommend!;8.0
Hreat location, Extremely clean, and much storage space was provided for space. shower was amazing!;7.0
Great place within walking distance of Hyde Park and Central London.;9.0
This is a nice hotel east walking distance too Paddington, if you make sure you get a larger room.;8.0
Good;7.0
Excellent choice if you want a modern and well located hotel in London.;8.0
Very good;8.0
Very good;8.0
great place to spend a few nights in London in the heart of a great neighborhood with excellent public transport links;9.0
Superb;9.0
Very good;8.0
quite a reasonable hotel close to Paddington;7.0
Good;7.0
Superb;9.0
gorgeous property with lovely staff;8.0
Great location, friendly staff and very clean;9.0
We were happy with the hotel, had a great sleep as it was quiet and A/C worked well.;8.0
good value and great location;8.0
Modern and sleek design hotel with friendly staff;8.0
Superb;9.0
Near perfect. Would book again.;9.0
Good;7.0
Good;7.0
Great location and hotel but difficult parking.;8.0
Very good;8.0
very comfortable & well considered . perfect for a few nights - with great location;7.0
Would stay again;7.0
Superb;9.0
Good overall!;8.0
great value overall;9.0
Very good;8.0
Good;7.0
Good;7.0
Great location, very good stay;8.0
Superb;9.0
Very good;8.0
Clean hotel with modern furnishings. Rooms are too small.;7.0
Inhabit was a great find and I will certainly use it again.;9.0
Thoughtful, stylish, good l;9.0
Cool design, clean and great location;9.0
Superb;9.0
Would stay again;9.0
Slept very well!;8.0
Other than the aircon problem, it was a good stay. Quiet at night and the room were very cozy and clean. Would recommend;9.0
amazing I’ll stay again;8.0
Overall it was an ok stay. I would visit again.;8.0
Superb;9.0
Good;7.0
High end features but perhaps small rooms.;9.0
Superb;9.0
Good energy;9.0
Good stay and sleep;8.0
Good hotel near Paddington;7.0
refreshingly friendly and easy hotel to stay in;9.0
Better than expected;8.0
Very good;8.0
Superior stay in London;9.0
great place to stay;8.0
Friendly, good location , minimalist decor but no kettle in small room;7.0
Very good;8.0
Superb;9.0
Superb;9.0
beautiful hotel, great location, would stay again.;8.0
Restful unique hotel with very helpful staff;8.0
would stay again;9.0
Superb;9.0
It is a lovely place. I’ll be back there each time I come to London;8.0
A little gem;8.0
Very good;8.0
well-maintained and small hotel for a quick stop in London;8.0
Relieved that a central hotel had excellent air conditioning;8.0
Great location, great room.;9.0
Nice hotel;9.0
Good;7.0
Very good;8.0
Very good;8.0
Good;7.0
Very clean and handy place with large family room and helpful staff, with just some puzzling issues.;8.0
OK;7.0
Excellent. I will stay here again.;9.0
Great, but too small for 2 people.;8.0
Mixed Bag;7.0
Good but missed my expectations.;7.0
Very comfy quiet hotel, excellent location although rooms a bit small.;8.0
Very good;8.0
Calm comfortable accommodation in Paddington;9.0
great overnight stay , reasonablely priced, staff were accommodating;8.0
Superb;9.0
Birthday treat made all the better with a decent hotel room;9.0
Superb;9.0
Great little hotel;8.0
Good;7.0
Lovely calm property modern relaxing decor....need more staff in kitchen and dining room...,;8.0
Very good;8.0
Great location for our stay and comfortable room, nice neighbourhood;8.0
Beautiful, clean decor. Friendly staff and convenient location.;9.0
Great hotel. Sad breakfast.;8.0
Very good;8.0
Good;7.0
Well priced comfy modern accommodation very close to Paddington Station and Hyde Park;8.0
Overall very good relaxing stay;9.0
the longer I stayed the more I appreciated Inhabit. the location and neighbourhood were great. the lounge and the librar;8.0
Good;7.0
Nice and quiet, lovely vibe. Would definitely stay again.;9.0
Very good;8.0
Good;7.0
Good;7.0
Great as usual.;8.0
A stunning hotel with excellent sustainability feautures but not very peaceful.;8.0
Good;7.0
Great base ;
;
Superb;9.0
Very good;8.0
Good location, clean hotel!;8.0
Good;7.0
Relxing, pleasant and comfortable;8.0
very comfortable on a great location to visit London;8.0
Great! Webite fairly represents the hotel. I would return;9.0
Very good;8.0
The stay was comfortable, the staff very energetic, but the value for the money not quite there.;8.0
Overall was good.;8.0
A lovely unique hotel in an amazing location.;7.0
boutique hotel;8.0
Enjoyable stay.;8.0
Strongly advised;8.0
Superb;9.0
Bright clean design hotel with comfortable beds and nice extras. Quiet neighborhood.;8.0
an individual hotel that is doing things slightly differently!;9.0
Clean modern room;8.0
Great location, decor  and value for money;8.0
A comfortable and convenient stay for the solo traveller!;9.0
